127.0.0.1 - - [18/Feb/2023:22:32:13 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2023:22:32:13 +0000] "GET /jspdemo/cookies-personalize-form.html HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [18/Feb/2023:22:32:13 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Feb/2023:22:49:52 +0000] "GET /jspdemo/cookies-personalize-response.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [18/Feb/2023:22:50:10 +0000] "GET /jspdemo/cookies-homepage.jsp HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [18/Feb/2023:22:52:32 +0000] "GET /jspdemo/cookies-homepage.jsp HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [18/Feb/2023:22:52:37 +0000] "GET /jspdemo/cookies-personalize-form.html HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [18/Feb/2023:22:59:39 +0000] "GET /jspdemo/cookies-personalize-form.html HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:01:33 +0000] "GET /jspdemo/cookies-homepage.jsp HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:02:01 +0000] "GET /jspdemo/cookies-homepage.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:02:08 +0000] "GET /jspdemo/cookies-personalize-form.html HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:02:13 +0000] "GET /jspdemo/cookies-personalize-response.jsp?favouriteLanguage=C%23 HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:02:19 +0000] "GET /jspdemo/cookies-homepage.jsp HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:02:23 +0000] "GET /jspdemo/cookies-personalize-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:02:26 +0000] "GET /jspdemo/cookies-personalize-response.jsp?favouriteLanguage=Ruby HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:02:27 +0000] "GET /jspdemo/cookies-homepage.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:02:29 +0000] "GET /jspdemo/cookies-personalize-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:02:32 +0000] "GET /jspdemo/cookies-personalize-response.jsp?favouriteLanguage=C%23 HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:02:36 +0000] "GET /jspdemo/cookies-homepage.jsp HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:02:38 +0000] "GET /jspdemo/cookies-personalize-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:02:42 +0000] "GET /jspdemo/cookies-personalize-response.jsp?favouriteLanguage=PHP HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [18/Feb/2023:23:02:43 +0000] "GET /jspdemo/cookies-homepage.jsp HTTP/1.1" 200 470
